Week,Series,Episode,Label
Cakes,1,1,
Biscuits,1,2,
Bread,1,3,
Puddings,1,4,Quarter-Final
Pastry,1,5,Semi-Final
Tea Party (Final),1,6,Final
Cakes,2,1,
Tarts,2,2,
Bread,2,3,
Biscuits,2,4,
Pies,2,5,
Desserts,2,6,Quarter-Final
Patisserie,2,7,Semi-Final
Final,2,8,Final
Cakes,3,1,
Bread,3,2,
Tarts,3,3,
Desserts,3,4,
Pies,3,5,
Puddings,3,6,
Sweet Dough,3,7,
Biscuits,3,8,Quarter-Final
Patisserie,3,9,Semi-Final
Final,3,10,Final
Cakes,4,1,
Bread,4,2,
Desserts,4,3,
Pies and Tarts,4,4,
Biscuits and Traybakes,4,5,
Sweet Dough,4,6,
Pastry,4,7,
Alternative Ingredients,4,8,Quarter-Final
French,4,9,Semi-Final
Final,4,10,Final
Cakes,5,1,
Biscuits,5,2,
Bread,5,3,
Desserts,5,4,
Pies and Tarts,5,5,
European Cakes,5,6,
Pastry,5,7,
Advanced Dough,5,8,Quarter-Final
Patisserie,5,9,Semi-Final
Final,5,10,Final
Cakes,6,1,
Biscuits,6,2,
Bread,6,3,
Desserts,6,4,
Alternative Ingredients,6,5,
Pastry,6,6,
Victorian,6,7,
Patisserie,6,8,Quarter-Final
Chocolate,6,9,Semi-Final
Final,6,10,Final
Cakes,7,1,
Biscuits,7,2,
Bread,7,3,
Batter,7,4,
Pastry,7,5,
Botanical,7,6,
Desserts,7,7,
Tudor,7,8,Quarter-Final
Patisserie,7,9,Semi-Final
Royal Picnic (Final),7,10,Final
Cakes,8,1,
Biscuits,8,2,
Bread,8,3,
Caramel,8,4,
Puddings,8,5,
Pastry,8,6,
Italian,8,7,
Forgotten Bakes,8,8,Quarter-Final
Patisserie,8,9,Semi-Final
Final,8,10,Final
Biscuits,9,1,
Cakes,9,2,
Bread,9,3,
Desserts,9,4,
Spice,9,5,
Pastry,9,6,
Vegan,9,7,
Danish,9,8,Quarter-Final
Patisserie,9,9,Semi-Final
Final,9,10,Final
Cakes,10,1,
Biscuits,10,2,
Bread,10,3,
Dairy,10,4,
Roaring 20s,10,5,
Desserts,10,6,
Festivals,10,7,
Pastry,10,8,Quarter-Final
Patisserie,10,9,Semi-Final
Final,10,10,Final
Cakes,11,1,
Biscuits,11,2,
Bread,11,3,
Chocolate,11,4,
Pastry,11,5,
Japanese,11,6,
80s,11,7,
Desserts,11,8,Quarter-Final
Patisserie,11,9,Semi-Final
Final,11,10,Final
Cakes,12,1,
Biscuits,12,2,
Bread,12,3,
Desserts,12,4,
German,12,5,
Pastry,12,6,
Caramel,12,7,
Free-from,12,8,Quarter-Final
Patisserie,12,9,Semi-Final
Final,12,10,Final
Cakes,13,1,
Biscuits,13,2,
Bread,13,3,
Mexican,13,4,
Desserts,13,5,
Halloween,13,6,
Custard,13,7,
Pastry,13,8,Quarter-Final
Patisserie,13,9,Semi-Final
Final,13,10,Final
Cakes,14,1,
Biscuits,14,2,
Bread,14,3,
Chocolate,14,4,
Pastry,14,5,
Botanical,14,6,
Desserts,14,7,
Party,14,8,Quarter-Final
Patisserie,14,9,Semi-Final
Final,14,10,Final
Cakes,15,1,
Biscuits,15,2,
Bread,15,3,
Caramel,15,4,
Pastry,15,5,
Autumn,15,6,
Desserts,15,7,
70s,15,8,Quarter-Final
Patisserie,15,9,Semi-Final
Final,15,10,Final
Cakes,16,1,
Biscuits,16,2,
Bread,16,3,
Back to School,16,4,
Chocolate,16,5,
Pastry,16,6,
Meringue,16,7,
Desserts,16,8,Quarter-Final